species	sample_1	sample_2	number_of_changes	opportunities	change_rate	mouse_1	mouse_2	cage_1	cage_2	location_1	location_2	orientation	coarse_location_1	coarse_location_2	taxonomic_assignment
100334	Cec_1_1	Cec_1_3	0	109266.0	0.0	1	3	1	1	Cecum	Cecum	Between host	Large intestine	Large intestine	Adlercreutzia caecimuri
263040	Col_2_1	Ile_3_2	0	129615.0	0.0	1	2	2	3	Colon	Ileum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_2_1	Col_3_1	0	129749.0	0.0	1	1	2	3	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_2_1	Col_3_2	0	129770.0	0.0	1	2	2	3	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_2_1	Col_3_3	0	129664.0	0.0	1	3	2	3	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_2_1	Duo_3_2	0	129680.0	0.0	1	2	2	3	Colon	Duodenum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_2_1	Ile_1_1	0	129700.0	0.0	1	1	2	1	Colon	Ileum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_2_1	Ile_2_1	0	129712.0	0.0	1	1	2	2	Colon	Ileum	Within host	Large intestine	Small intestine	g__CAG-873
263040	Col_2_1	Ile_3_1	0	129789.0	0.0	1	1	2	3	Colon	Ileum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_2_1	Jej_1_3	0	129660.0	0.0	1	3	2	1	Colon	Jejunum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_1_2	Jej_1_3	0	129503.0	0.0	2	3	1	1	Colon	Jejunum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_2_1	Jej_2_1	0	129571.0	0.0	1	1	2	2	Colon	Jejunum	Within host	Large intestine	Small intestine	g__CAG-873
263040	Col_2_1	Jej_3_1	0	129538.0	0.0	1	1	2	3	Colon	Jejunum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_2_1	Jej_3_2	0	129696.0	0.0	1	2	2	3	Colon	Jejunum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_2_2	Col_2_3	0	129659.0	0.0	2	3	2	2	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_2_2	Col_3_1	0	129753.0	0.0	2	1	2	3	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_2_2	Col_3_2	0	129741.0	0.0	2	2	2	3	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_2_2	Col_3_3	0	129654.0	0.0	2	3	2	3	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_2_1	Col_2_3	0	129722.0	0.0	1	3	2	2	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_2_1	Col_2_2	0	129688.0	0.0	1	2	2	2	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_1_3	Jej_3_2	0	129636.0	0.0	3	2	1	3	Colon	Jejunum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_1_3	Jej_3_1	0	129407.0	0.0	3	1	1	3	Colon	Jejunum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_1_2	Jej_3_1	0	129393.0	0.0	2	1	1	3	Colon	Jejunum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_1_2	Jej_3_2	0	129623.0	0.0	2	2	1	3	Colon	Jejunum	Between host	Large intestine	Small intestine	g__CAG-873
263040	Col_1_3	Col_2_1	0	129645.0	0.0	3	1	1	2	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_1_3	Col_2_2	0	129600.0	0.0	3	2	1	2	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
263040	Col_1_3	Col_2_3	0	129642.0	0.0	3	3	1	2	Colon	Colon	Between host	Large intestine	Large intestine	g__CAG-873
