species	sample_1	sample_2	number_of_changes	opportunities	change_rate	mouse_1	mouse_2	cage_1	cage_2	location_1	location_2	orientation	coarse_location_1	coarse_location_2	taxonomic_assignment
262170	Cec_2_3	Cec_3_3	2	32276.0	6.196554715578138e-05	3	3	2	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__ASF356
262170	Cec_3_1	Cec_3_3	2	32382.0	6.176270767710456e-05	1	3	3	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__ASF356
259253	Cec_2_1	Cec_3_2	2	55776.0	3.5857716580608144e-05	1	2	2	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__UBA9475 (259253)
262170	Cec_3_1	Col_1_2	2	32373.0	6.177987829363977e-05	1	2	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__ASF356
209914	Cec_1_3	Cec_2_1	2	61165.0	3.269843864955448e-05	3	1	1	2	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_1_2	Cec_3_3	2	60971.0	3.2802479867477984e-05	2	3	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_3_1	Cec_3_2	2	61137.0	3.2713414135466246e-05	1	2	3	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_1_2	Cec_2_1	2	61085.0	3.274126217565687e-05	2	1	1	2	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
262170	Cec_1_1	Cec_3_1	2	32381.0	6.176461505203669e-05	1	1	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__ASF356
209914	Cec_3_3	Col_2_1	2	60962.0	3.2807322594403074e-05	3	1	3	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_3_3	Col_1_2	2	60904.0	3.283856561145409e-05	3	2	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_3_2	Col_3_1	2	61167.0	3.2697369496623994e-05	2	1	3	3	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_3_2	Col_2_3	2	61137.0	3.2713414135466246e-05	2	3	3	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_1_1	Cec_2_1	2	61206.0	3.26765349802307e-05	1	1	1	2	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
261649	Cec_3_1	Cec_3_3	1	99851.0	1.0014922234128853e-05	1	3	3	3	Cecum	Cecum	Between host	Large intestine	Large intestine	f__UBA3700
205567	Col_3_3	Jej_2_3	1	163899.0	6.101318494926754e-06	3	3	3	2	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
209914	Cec_1_1	Cec_3_2	1	61090.0	1.636929120969062e-05	1	2	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_1_1	Cec_3_1	1	61179.0	1.6345478023504796e-05	1	1	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_1_1	Cec_2_3	1	61198.0	1.6340403281152978e-05	1	3	1	2	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
205567	Col_2_1	Col_3_3	1	164196.0	6.0902823454895365e-06	1	3	2	3	Colon	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
205567	Cec_1_2	Col_3_3	1	163908.0	6.10098347853674e-06	2	3	1	3	Cecum	Colon	Between host	Large intestine	Large intestine	Ligilactobacillus murinu
205567	Cec_1_3	Jej_3_3	1	161880.0	6.177415369409439e-06	3	3	1	3	Cecum	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Col_3_3	Jej_1_3	1	164002.0	6.097486616016878e-06	3	3	3	1	Colon	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
205567	Cec_2_2	Jej_3_3	1	162114.0	6.16849871078377e-06	2	3	2	3	Cecum	Jejunum	Between host	Large intestine	Small intestine	Ligilactobacillus murinu
261649	Cec_2_3	Cec_3_1	1	99607.0	1.0039455058379431e-05	3	1	2	3	Cecum	Cecum	Between host	Large intestine	Large intestine	f__UBA3700
261649	Cec_3_1	Cec_3_2	1	99187.0	1.0081966386724068e-05	1	2	3	3	Cecum	Cecum	Between host	Large intestine	Large intestine	f__UBA3700
