genome	species_id	representative	genome_is_representative	species	taxonomy	ANI circumscription radius	Mean intra-species ANI	Min intra-species ANI	Mean intra-species AF	Min intra-species AF	No. clustered genomes
MGBC152421	252421	MGBC152421	1	g__UMGS1004	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__						18
MGBC152423	252423	MGBC152423	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						13
MGBC152544	252544	MGBC152544	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						7
MGBC152639	252639	MGBC152639	1	g__UMGS1004	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__						18
MGBC152734	252734	MGBC152734	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						7
MGBC152987	252987	MGBC152987	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						5
MGBC153020	253020	MGBC153020	1	f__Oscillospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__						2
MGBC153228	253228	MGBC153228	1	f__Muribaculaceae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__						84
MGBC153675	253675	MGBC153675	1	g__CAG-1435	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__CAG-1435;s__						37
MGBC153954	253954	MGBC153954	1	g__Paramuribaculum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__						163
MGBC153991	253991	MGBC153991	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						82
MGBC154005	254005	MGBC154005	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						2
MGBC154526	254526	MGBC154526	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						17
MGBC155283	255283	MGBC155283	1	f__CAG-1000	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__						2
MGBC155975	255975	MGBC155975	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						18
MGBC156312	256312	MGBC156312	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						19
MGBC156614	256614	MGBC156614	1	g__UMGS1370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__						75
MGBC156628	256628	MGBC156628	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						4
MGBC156629	256629	MGBC156629	1	g__Schaedlerella	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__						14
MGBC156923	256923	MGBC156923	1	g__CAG-582	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-582;s__						2
MGBC157066	257066	MGBC157066	1	f__Borkfalkiaceae	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__						117
MGBC157102	257102	MGBC157102	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						63
MGBC157384	257384	MGBC157384	1	g__UBA11517	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__						1
MGBC157385	257385	MGBC157385	1	o__Gastranaerophilales	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__						1
MGBC157433	257433	MGBC157433	1	g__CAG-115	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__						88
MGBC157434	257434	MGBC157434	1	s__UBA3282 sp003612405	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp003612405						190
MGBC157594	257594	MGBC157594	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						1
MGBC157705	257705	MGBC157705	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						12
MGBC157731	257731	MGBC157731	1	g__ASF356	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__ASF356;s__						14
MGBC157735	257735	MGBC157735	1	f__CAG-552	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__						1
MGBC157936	257936	MGBC157936	1	g__Duncaniella	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__						14
MGBC158032	258032	MGBC158032	1	s__Paramuribaculum sp900553585	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp900553585						210
MGBC158044	258044	MGBC158044	1	f__CAG-552	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__						27
MGBC158299	258299	MGBC158299	1	g__UBA7173	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__						6
MGBC158372	258372	MGBC158372	1	s__Ruthenibacterium lactatiformans	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans						2
MGBC158472	258472	MGBC158472	1	f__CAG-552	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__						14
MGBC158517	258517	MGBC158517	1	g__UBA7182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__						1
MGBC158728	258728	MGBC158728	1	g__UBA3282	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__						20
MGBC158835	258835	MGBC158835	1	g__Kineothrix	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__						24
MGBC159243	259243	MGBC159243	1	o__Gastranaerophilales	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__						7
MGBC159247	259247	MGBC159247	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						147
MGBC159253	259253	MGBC159253	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						43
MGBC159717	259717	MGBC159717	1	g__Paramuribaculum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__						101
MGBC159740	259740	MGBC159740	1	f__CAG-552	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__						3
MGBC159744	259744	MGBC159744	1	f__CAG-552	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__						3
MGBC159851	259851	MGBC159851	1	o__Gastranaerophilales	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__						17
MGBC159923	259923	MGBC159923	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						1
MGBC159935	259935	MGBC159935	1	g__Desulfovibrio	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__						9
MGBC159988	259988	MGBC159988	1	g__UBA7182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__						16
MGBC159997	259997	MGBC159997	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						24
MGBC160000	260000	MGBC160000	1	g__CAG-95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__						6
MGBC160006	260006	MGBC160006	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						10
MGBC160019	260019	MGBC160019	1	g__CAG-1435	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__CAG-1435;s__						11
MGBC160026	260026	MGBC160026	1	g__UMGS1880	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__UMGS1880;s__						1
MGBC160578	260578	MGBC160578	1	g__Acutalibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__						1
MGBC160833	260833	MGBC160833	1	g__51-20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__						23
MGBC161056	261056	MGBC161056	1	g__CAG-95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__						198
MGBC161115	261115	MGBC161115	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						2
MGBC161128	261128	MGBC161128	1	o__Gastranaerophilales	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__						3
MGBC161175	261175	MGBC161175	1	s__Duncaniella sp001689495	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689495						19
MGBC161191	261191	MGBC161191	1	s__Dubosiella sp000403415	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella;s__Dubosiella sp000403415						3
MGBC161213	261213	MGBC161213	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						2
MGBC161412	261412	MGBC161412	1	g__Clostridium_Q	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__						34
MGBC161418	261418	MGBC161418	1	g__Marseille-P3106	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__						3
MGBC161419	261419	MGBC161419	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						13
MGBC161554	261554	MGBC161554	1	g__Ligilactobacillus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__						4
MGBC161558	261558	MGBC161558	1	g__Muribaculum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__						6
MGBC161624	261624	MGBC161624	1	g__14-2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__						1
MGBC161649	261649	MGBC161649	1	f__UBA3700	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__						44
MGBC161672	261672	MGBC161672	1	g__Angelakisella	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__						36
MGBC161676	261676	MGBC161676	1	g__Acutalibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__						14
MGBC161736	261736	MGBC161736	1	g__CAG-776	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-776;s__						2
MGBC161747	261747	MGBC161747	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						3
MGBC161755	261755	MGBC161755	1	f__Oscillospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__						2
MGBC161823	261823	MGBC161823	1	g__Roseburia	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__						1
MGBC161919	261919	MGBC161919	1	s__Lactococcus lactis_E	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis_E						25
MGBC162018	262018	MGBC162018	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						53
MGBC162040	262040	MGBC162040	1	f__Oscillospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__						85
MGBC162081	262081	MGBC162081	1	g__Acutalibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__						7
MGBC162097	262097	MGBC162097	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						1
MGBC162151	262151	MGBC162151	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						51
MGBC162170	262170	MGBC162170	1	g__ASF356	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__ASF356;s__						19
MGBC162267	262267	MGBC162267	1	g__UMGS1217	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UMGS1217;s__						1
MGBC162268	262268	MGBC162268	1	o__Gastranaerophilales	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__						2
MGBC162360	262360	MGBC162360	1	s__Amulumruptor sp001689515	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Amulumruptor;s__Amulumruptor sp001689515						43
MGBC162392	262392	MGBC162392	1	s__Phocaeicola sartorii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sartorii						21
MGBC162393	262393	MGBC162393	1	g__Parvibacter	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Parvibacter;s__						3
MGBC162430	262430	MGBC162430	1	s__Bifidobacterium globosum	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum						119
MGBC162466	262466	MGBC162466	1	s__Muribaculum sp002358615	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002358615						56
MGBC162486	262486	MGBC162486	1	f__UBA3700	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__						60
MGBC162508	262508	MGBC162508	1	g__CAG-145	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-145;s__						1
MGBC162518	262518	MGBC162518	1	s__Prevotellamassilia sp002933955	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia sp002933955						20
MGBC162555	262555	MGBC162555	1	g__D16-34	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__D16-34;s__						2
MGBC162581	262581	MGBC162581	1	f__CAG-611	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__;s__						1
MGBC162663	262663	MGBC162663	1	f__Oscillospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__						3
