sample_type,date,time,sample,freq,species,strain,subject,tissue,quantile_25,quantile_75,upper_ci,lower_ci,sample_type_number
Saliva,2020-09-12,00:00:00,SRR18585191,0.7032891805060284,Actinomyces_viscosus_57672,2,11,Saliva,0.6,0.8,0.7234850545070928,0.6814339801232965,Saliva
Stool,2020-06-26,00:00:00,SRR18585014,0.18954023230183628,Adlercreutzia_equolifaciens_60310,1,2,Stool,0.09999999999999998,0.26666666666666666,0.21085539041429624,0.17003734976569912,Stool
Stool,2020-06-26,00:00:00,SRR18585014,0.8104597676981637,Adlercreutzia_equolifaciens_60310,2,2,Stool,0.7333333333333334,0.9,0.8300576757265746,0.7904879946845054,Stool
Stool,2020-08-24,00:00:00,SRR18584999,0.7130621731079754,Adlercreutzia_equolifaciens_60310,1,9,Stool,0.6,0.8181818181818181,0.7365047284159527,0.6888251709957252,Stool
Stool,2020-08-24,00:00:00,SRR18584999,0.28693782689202463,Adlercreutzia_equolifaciens_60310,2,9,Stool,0.18181818181818188,0.4,0.31087113840237995,0.26234533656473985,Stool
Capsule,2020-09-12,23:45:00,SRR18585182,0.0656233092262859,Adlercreutzia_equolifaciens_60310,1,12,Small intestine 2,0.0,0.1111111111111111,0.08274028267146298,0.05073259743027828,Capsule 2
Capsule,2020-09-13,06:15:00,SRR18585181,0.08267546072527653,Adlercreutzia_equolifaciens_60310,1,12,Small intestine 1,0.0,0.14285714285714285,0.10286382123376503,0.06387928039902416,Capsule 1
Capsule,2020-09-13,06:15:00,SRR18585178,0.06550800672875066,Adlercreutzia_equolifaciens_60310,1,12,Ascending colon,0.0,0.1,0.08862238386709594,0.04416588888973713,Capsule 4
Capsule,2020-09-13,21:20:00,SRR18585177,0.09809631639008057,Adlercreutzia_equolifaciens_60310,1,12,Small intestine 2,0.0,0.16666666666666666,0.12203793430103607,0.07581269799368381,Capsule 2
Capsule,2020-09-13,21:20:00,SRR18584983,0.10122993386869816,Adlercreutzia_equolifaciens_60310,1,12,Small intestine 3,0.0,0.16666666666666666,0.12300498076658367,0.08106586180437134,Capsule 3
Capsule,2020-09-13,21:20:00,SRR18584982,0.09735174382554332,Adlercreutzia_equolifaciens_60310,1,12,Ascending colon,0.0,0.16666666666666666,0.12170925734825586,0.07524702763592589,Capsule 4
Capsule,2020-09-14,06:30:00,SRR18584981,0.05501787925089192,Adlercreutzia_equolifaciens_60310,1,12,Small intestine 1,0.0,0.067816091954023,0.07648842171464126,0.03573909192110405,Capsule 1
Capsule,2020-09-14,06:30:00,SRR18584980,0.09286068496312154,Adlercreutzia_equolifaciens_60310,1,12,Small intestine 2,0.0,0.16666666666666666,0.11854728770736765,0.07040420277743828,Capsule 2
Capsule,2020-09-12,23:45:00,SRR18585182,0.934376690773714,Adlercreutzia_equolifaciens_60310,2,12,Small intestine 2,0.8888888888888888,1.0,0.9493833186501132,0.9177481364424824,Capsule 2
Capsule,2020-09-13,06:15:00,SRR18585181,0.9173245392747236,Adlercreutzia_equolifaciens_60310,2,12,Small intestine 1,0.8571428571428572,1.0,0.9370083575078308,0.8982028816703858,Capsule 1
Capsule,2020-09-13,06:15:00,SRR18585178,0.9344919932712492,Adlercreutzia_equolifaciens_60310,2,12,Ascending colon,0.9,1.0,0.9570005115768028,0.9114569328494544,Capsule 4
Capsule,2020-09-13,21:20:00,SRR18585177,0.9019036836099196,Adlercreutzia_equolifaciens_60310,2,12,Small intestine 2,0.8333333333333334,1.0,0.9261569093365412,0.8774059730794886,Capsule 2
Capsule,2020-09-13,21:20:00,SRR18584983,0.8987700661313018,Adlercreutzia_equolifaciens_60310,2,12,Small intestine 3,0.8333333333333334,1.0,0.9206387820750236,0.8772857366180801,Capsule 3
Capsule,2020-09-13,21:20:00,SRR18584982,0.9026482561744568,Adlercreutzia_equolifaciens_60310,2,12,Ascending colon,0.8333333333333334,1.0,0.9254890495216728,0.8779479241346118,Capsule 4
Capsule,2020-09-14,06:30:00,SRR18584981,0.944982120749108,Adlercreutzia_equolifaciens_60310,2,12,Small intestine 1,0.9321839080459772,1.0,0.9638704580755248,0.923096599886464,Capsule 1
Capsule,2020-09-14,06:30:00,SRR18584980,0.9071393150368784,Adlercreutzia_equolifaciens_60310,2,12,Small intestine 2,0.8333333333333334,1.0,0.9288960609866568,0.8810379783726321,Capsule 2
Saliva,2020-06-24,00:00:00,SRR18585013,0.1716288410288938,Aggregatibacter_aphrophilus_58143,1,2,Saliva,0.07142857142857142,0.2727272727272727,0.19807830019245465,0.14791701834994211,Saliva
Saliva,2020-06-29,00:00:00,SRR18585012,0.27952637648021395,Aggregatibacter_aphrophilus_58143,1,2,Saliva,0.18181818181818185,0.3684210526315789,0.30338713363090297,0.256035669349785,Saliva
Saliva,2020-06-24,00:00:00,SRR18585013,0.8283711589711062,Aggregatibacter_aphrophilus_58143,2,2,Saliva,0.7272727272727273,0.9285714285714286,0.8530245112408231,0.8043904233311837,Saliva
Saliva,2020-06-29,00:00:00,SRR18585012,0.7204736235197862,Aggregatibacter_aphrophilus_58143,2,2,Saliva,0.631578947368421,0.8181818181818181,0.743932920365883,0.6965401422794613,Saliva
Capsule,2020-06-27,06:55:00,SRR18585023,0.07829663708122188,Alistipes_finegoldii_56071,1,2,Small intestine 3,0.0,0.125,0.0912384899711008,0.06527302330298919,Capsule 3
Capsule,2020-06-27,06:55:00,SRR18585022,0.08700733099043961,Alistipes_finegoldii_56071,1,2,Ascending colon,0.0,0.16666666666666666,0.10452245855517456,0.06975980973214392,Capsule 4
Capsule,2020-06-27,06:55:00,SRR18585023,0.921703362918778,Alistipes_finegoldii_56071,2,2,Small intestine 3,0.875,1.0,0.9346650893516032,0.909419428739239,Capsule 3
Capsule,2020-06-27,06:55:00,SRR18585022,0.9129926690095604,Alistipes_finegoldii_56071,2,2,Ascending colon,0.8333333333333334,1.0,0.9310561524141924,0.8942304576313735,Capsule 4
Capsule,2020-06-27,06:55:00,SRR18585027,0.017185926067806962,Alistipes_onderdonkii_55464,1,1,Small intestine 3,0.0,0.025,0.023272762403685344,0.011865073485215328,Capsule 3
Capsule,2020-07-02,07:30:00,SRR18584973,0.04706113310668168,Alistipes_onderdonkii_55464,1,1,Ascending colon,0.0,0.08333333333333333,0.06307667643585121,0.03160887517088175,Capsule 4
Capsule,2020-07-02,07:30:00,SRR18585119,0.052420914895437085,Alistipes_onderdonkii_55464,1,1,Ascending colon,0.0,0.10526315789473684,0.06757242934965177,0.03855738836757749,Capsule 4
Capsule,2020-08-14,06:50:00,SRR18585090,0.012011170490679186,Alistipes_onderdonkii_55464,1,1,Ascending colon,0.0,0.017857142857142856,0.016842723381979396,0.008012838522174371,Capsule 4
Capsule,2020-06-27,06:55:00,SRR18585027,0.9828140739321929,Alistipes_onderdonkii_55464,2,1,Small intestine 3,0.975,1.0,0.9882347561067162,0.9766974085955842,Capsule 3
Capsule,2020-07-02,07:30:00,SRR18584973,0.9529388668933182,Alistipes_onderdonkii_55464,2,1,Ascending colon,0.9166666666666666,1.0,0.9687536655489876,0.9361758300727052,Capsule 4
Capsule,2020-07-02,07:30:00,SRR18585119,0.9475790851045628,Alistipes_onderdonkii_55464,2,1,Ascending colon,0.8947368421052632,1.0,0.9615989268735919,0.9337232042501944,Capsule 4
Capsule,2020-08-14,06:50:00,SRR18585090,0.9879888295093208,Alistipes_onderdonkii_55464,2,1,Ascending colon,0.9821428571428572,1.0,0.992049990522188,0.9836889220275096,Capsule 4
Stool,2020-07-01,00:00:00,SRR18585165,0.044427658955101465,Alistipes_putredinis_61533,1,3,Stool,0.0,0.0755494505494505,0.06045610087365429,0.029740822717080038,Stool
Stool,2020-07-01,00:00:00,SRR18585166,0.04997319507841376,Alistipes_putredinis_61533,1,3,Stool,0.0,0.09523809523809523,0.06343569977658743,0.03795196931959629,Stool
Capsule,2020-07-02,05:00:00,SRR18585175,0.04471505770238343,Alistipes_putredinis_61533,1,3,Small intestine 1,0.0,0.0,0.06315616535060226,0.026843248769419438,Capsule 1
Capsule,2020-07-02,05:00:00,SRR18585174,0.05217736431215829,Alistipes_putredinis_61533,1,3,Small intestine 2,0.0,0.1111111111111111,0.06746655438009623,0.036868424181339295,Capsule 2
Stool,2020-07-01,00:00:00,SRR18585165,0.9555723410448984,Alistipes_putredinis_61533,2,3,Stool,0.9244505494505496,1.0,0.9706767816783356,0.9402188106837372,Stool
Stool,2020-07-01,00:00:00,SRR18585166,0.9500268049215864,Alistipes_putredinis_61533,2,3,Stool,0.9047619047619048,1.0,0.9629736798513092,0.938116778624516,Stool
Capsule,2020-07-02,05:00:00,SRR18585175,0.9552849422976166,Alistipes_putredinis_61533,2,3,Small intestine 1,1.0,1.0,0.9715034016636958,0.9367665205440844,Capsule 1
Capsule,2020-07-02,05:00:00,SRR18585174,0.9478226356878418,Alistipes_putredinis_61533,2,3,Small intestine 2,0.8888888888888888,1.0,0.9637013022109078,0.9297959798430024,Capsule 2
Capsule,2020-08-17,22:30:00,SRR18585073,0.05376411894827485,Alistipes_putredinis_61533,1,7,Small intestine 3,0.0,0.09999999999999998,0.07077340083065636,0.03893768242889424,Capsule 3
Capsule,2020-08-18,23:00:00,SRR18585072,0.013052960883997787,Alistipes_putredinis_61533,1,7,Small intestine 2,0.0,0.0,0.01857275356411571,0.007826819430940194,Capsule 2
Capsule,2020-08-20,05:20:00,SRR18585070,0.02870208593739416,Alistipes_putredinis_61533,1,7,Small intestine 3,0.0,0.04444444444444445,0.03502177239437465,0.023115031360194428,Capsule 3
Capsule,2020-08-17,22:30:00,SRR18585073,0.9462358810517252,Alistipes_putredinis_61533,2,7,Small intestine 3,0.9,1.0,0.9616257423143862,0.9287508158187724,Capsule 3
Capsule,2020-08-18,23:00:00,SRR18585072,0.9869470391160023,Alistipes_putredinis_61533,2,7,Small intestine 2,1.0,1.0,0.9923586275125992,0.9811560173512976,Capsule 2
Capsule,2020-08-20,05:20:00,SRR18585070,0.9712979140626058,Alistipes_putredinis_61533,2,7,Small intestine 3,0.9555555555555556,1.0,0.977228891748832,0.9655232511230768,Capsule 3
Stool,2020-09-07,00:00:00,SRR18584976,0.971760868546728,Alistipes_putredinis_61533,1,12,Stool,0.9591836734693876,1.0,0.9778661549466404,0.9654716587725009,Stool
Capsule,2020-09-08,06:00:00,SRR18585184,0.959013543078002,Alistipes_putredinis_61533,1,12,Small intestine 2,1.0,1.0,0.9756361911406936,0.9412001793580352,Capsule 2
Stool,2020-09-11,00:00:00,SRR18584975,0.9856261589542604,Alistipes_putredinis_61533,1,12,Stool,1.0,1.0,0.994107075282652,0.9756462804762732,Stool
Capsule,2020-09-11,23:45:00,SRR18585183,0.9826177914928276,Alistipes_putredinis_61533,1,12,Small intestine 1,1.0,1.0,0.9901905841570816,0.9730493562221556,Capsule 1
Stool,2020-09-12,00:00:00,SRR18584974,0.9876951459840744,Alistipes_putredinis_61533,1,12,Stool,0.9848484848484848,1.0,0.9925836870749312,0.9820058812880732,Stool
Capsule,2020-09-12,23:45:00,SRR18585182,0.9960225578996242,Alistipes_putredinis_61533,1,12,Small intestine 2,1.0,1.0,0.9986295371837262,0.9924851502488409,Capsule 2
Stool,2020-09-13,00:00:00,SRR18584972,0.9892294027643131,Alistipes_putredinis_61533,1,12,Stool,1.0,1.0,0.994028589519811,0.9830339964898771,Stool
Stool,2020-09-13,00:00:00,SRR18585273,0.9909865941794946,Alistipes_putredinis_61533,1,12,Stool,1.0,1.0,0.9952421936086316,0.9854457442374782,Stool
Capsule,2020-09-13,21:20:00,SRR18585177,0.9886607602866708,Alistipes_putredinis_61533,1,12,Small intestine 2,0.9838709677419356,1.0,0.9908845418044456,0.9863046083230966,Capsule 2
Capsule,2020-09-13,21:20:00,SRR18584982,0.9399594809707428,Alistipes_putredinis_61533,1,12,Ascending colon,0.9,1.0,0.9548557677850918,0.9233791304927358,Capsule 4
Stool,2020-09-14,00:00:00,SRR18585272,0.9917823757565948,Alistipes_putredinis_61533,1,12,Stool,1.0,1.0,0.9951339601761502,0.9878441569031654,Stool
Stool,2020-09-07,00:00:00,SRR18584976,0.02823913145327208,Alistipes_putredinis_61533,2,12,Stool,0.0,0.04081632653061229,0.03500129803031448,0.022232821293519747,Stool
Capsule,2020-09-08,06:00:00,SRR18585184,0.04098645692199808,Alistipes_putredinis_61533,2,12,Small intestine 2,0.0,0.0,0.05898204157611674,0.024951986983163647,Capsule 2
Stool,2020-09-11,00:00:00,SRR18584975,0.014373841045739518,Alistipes_putredinis_61533,2,12,Stool,0.0,0.0,0.02356079102222829,0.006741979540290088,Stool
Capsule,2020-09-11,23:45:00,SRR18585183,0.017382208507172328,Alistipes_putredinis_61533,2,12,Small intestine 1,0.0,0.0,0.026601764543676524,0.009660206268636048,Capsule 1
Stool,2020-09-12,00:00:00,SRR18584974,0.012304854015925678,Alistipes_putredinis_61533,2,12,Stool,0.0,0.015151515151515138,0.01799608330823205,0.007388190027598767,Stool
Capsule,2020-09-12,23:45:00,SRR18585182,0.003977442100375521,Alistipes_putredinis_61533,2,12,Small intestine 2,0.0,0.0,0.007398392264424831,0.0013005271779978993,Capsule 2
Stool,2020-09-13,00:00:00,SRR18584972,0.010770597235686926,Alistipes_putredinis_61533,2,12,Stool,0.0,0.0,0.01734571400854128,0.005437249000943839,Stool
Stool,2020-09-13,00:00:00,SRR18585273,0.009013405820505442,Alistipes_putredinis_61533,2,12,Stool,0.0,0.0,0.014789064460850557,0.00471006112414366,Stool
Capsule,2020-09-13,21:20:00,SRR18585177,0.011339239713329377,Alistipes_putredinis_61533,2,12,Small intestine 2,0.0,0.016129032258064502,0.013648821359189869,0.009082598101088144,Capsule 2
Capsule,2020-09-13,21:20:00,SRR18584982,0.060040519029257285,Alistipes_putredinis_61533,2,12,Ascending colon,0.0,0.09999999999999998,0.0788312424016252,0.04540990021627127,Capsule 4
Stool,2020-09-14,00:00:00,SRR18585272,0.008217624243405278,Alistipes_putredinis_61533,2,12,Stool,0.0,0.0,0.012524492805291956,0.004703730518348652,Stool
Capsule,2020-06-27,06:55:00,SRR18585099,0.992871369343106,Alistipes_shahii_62199,1,1,Small intestine 1,1.0,1.0,0.9979785671565278,0.985552632266905,Capsule 1
Capsule,2020-06-27,06:55:00,SRR18585086,0.9888896555633244,Alistipes_shahii_62199,1,1,Small intestine 2,1.0,1.0,0.9973238095238096,0.9776558748559232,Capsule 2
