species,strain,subject,sample_type,sample_type_number,tissue,date,time,timepoint,sample,freq,quantile_25,quantile_75,upper_ci,lower_ci
Alistipes_putredinis_61533,2,12,Capsule,Capsule 2,Small intestine 2,2020-09-13,21:20:00,4,SRR18585177,0.011339239713329377,0.0,0.016129032258064502,0.013648821359189869,0.009082598101088144
Alistipes_putredinis_61533,1,12,Capsule,Capsule 4,Ascending colon,2020-09-13,21:20:00,4,SRR18584982,0.9399594809707428,0.9,1.0,0.9548557677850918,0.9233791304927358
Alistipes_putredinis_61533,2,12,Capsule,Capsule 4,Ascending colon,2020-09-13,21:20:00,4,SRR18584982,0.060040519029257285,0.0,0.09999999999999998,0.0788312424016252,0.04540990021627127
Alistipes_shahii_62199,1,1,Capsule,Capsule 1,Small intestine 1,2020-06-27,06:55:00,1,SRR18585099,0.992871369343106,1.0,1.0,0.9979785671565278,0.985552632266905
Alistipes_shahii_62199,2,1,Capsule,Capsule 1,Small intestine 1,2020-06-27,06:55:00,1,SRR18585099,0.007128630656894042,0.0,0.0,0.014184092734750629,0.001981763285024154
Alistipes_shahii_62199,1,1,Capsule,Capsule 2,Small intestine 2,2020-06-27,06:55:00,1,SRR18585086,0.9888896555633244,1.0,1.0,0.9973238095238096,0.9776558748559232
Alistipes_shahii_62199,2,1,Capsule,Capsule 2,Small intestine 2,2020-06-27,06:55:00,1,SRR18585086,0.01111034443667573,0.0,0.0,0.021671808166248956,0.002914204545454545
Alistipes_shahii_62199,1,1,Capsule,Capsule 3,Small intestine 3,2020-06-27,06:55:00,1,SRR18585027,0.968502284035441,0.9473684210526316,1.0,0.976801711092798,0.9593337341847036
Alistipes_shahii_62199,2,1,Capsule,Capsule 3,Small intestine 3,2020-06-27,06:55:00,1,SRR18585027,0.03149771596455904,0.0,0.05263157894736836,0.03941441214698335,0.02314947795329253
Alistipes_shahii_62199,1,1,Capsule,Capsule 3,Small intestine 3,2020-06-30,06:30:00,2,SRR18585206,0.9555504218117,0.9285714285714286,1.0,0.9694349232616108,0.9401980831397858
Alistipes_shahii_62199,2,1,Capsule,Capsule 3,Small intestine 3,2020-06-30,06:30:00,2,SRR18585206,0.04444957818830013,0.0,0.0714285714285714,0.060636740153854764,0.029947260400194176
Alistipes_shahii_62199,1,1,Capsule,Capsule 2,Small intestine 2,2020-07-01,06:30:00,3,SRR18585176,0.9981090491763864,1.0,1.0,1.0,0.9946978881987576
Alistipes_shahii_62199,2,1,Capsule,Capsule 2,Small intestine 2,2020-07-01,06:30:00,3,SRR18585176,0.001890950823613623,0.0,0.0,0.005568413068809949,0.0
Alistipes_shahii_62199,1,1,Capsule,Capsule 2,Small intestine 2,2020-07-01,06:30:00,3,SRR18585187,0.9842849486634448,1.0,1.0,0.9908480627617338,0.9769174174322632
Alistipes_shahii_62199,2,1,Capsule,Capsule 2,Small intestine 2,2020-07-01,06:30:00,3,SRR18585187,0.01571505133655524,0.0,0.0,0.022930816501758308,0.009660510809328986
Alistipes_shahii_62199,1,1,Capsule,Capsule 4,Ascending colon,2020-07-02,07:30:00,4,SRR18584973,0.969037495362766,0.95,1.0,0.9762568919539228,0.960546130976826
