accession,read_count
accession,read_count
Cec_1_1,43836870
Cec_1_2,44594491
Cec_1_3,74670843
Cec_2_2,39845951
Cec_2_1,43026245
Cec_2_3,41124762
Cec_3_1,49093725
Cec_3_2,54725840
Cec_3_3,55318745
Col_1_2,42425546
Col_1_1,45329345
Col_1_3,45863583
Col_2_1,42190820
Col_2_2,49824614
Col_2_3,41705060
Col_3_1,50279136
Col_3_2,45175186
Col_3_3,40915656
Duo_1_1,54282370
Duo_1_3,47766424
Duo_1_2,46562550
Duo_2_1,44726613
Duo_2_2,53026303
Duo_2_3,40387589
Duo_3_1,53381673
Duo_3_2,57263802
Duo_3_3,62205026
Ile_1_2,43041518
Ile_1_3,45996783
Ile_2_1,42877618
Ile_2_2,39335834
Ile_1_1,43913435
Ile_3_1,52149656
Ile_2_3,63569822
Ile_3_2,46042735
Ile_3_3,39815315
Jej_1_2,41117312
Jej_1_1,45804503
Jej_1_3,44460972
Jej_2_2,40719601
Jej_2_1,56423942
Jej_2_3,57358961
Jej_3_2,42889058
Jej_3_1,70813202
Jej_3_3,44781861
